Time,specific_humidity[unit:kg/kg]
1984-10-27 00:00:00 UTC,3.640356283085566E-8
1984-10-28 00:00:00 UTC,3.466386999662063E-8
1984-10-29 00:00:00 UTC,3.400241510576052E-8
1984-10-30 00:00:00 UTC,3.630343670124603E-8
1984-10-31 00:00:00 UTC,3.741656584566044E-8
1984-11-01 00:00:00 UTC,2.956781486318505E-8
1984-11-02 00:00:00 UTC,2.5337344666809258E-8
1984-11-03 00:00:00 UTC,2.7225215859516538E-8
1984-11-04 00:00:00 UTC,2.250950181803546E-8
1984-11-05 00:00:00 UTC,2.2126442900116672E-8
1984-11-06 00:00:00 UTC,2.7336769292674035E-8
1984-11-07 00:00:00 UTC,2.7738655816733626E-8
1984-11-08 00:00:00 UTC,2.944801025250854E-8
1984-11-09 00:00:00 UTC,2.1908794778369156E-8
1984-11-10 00:00:00 UTC,2.3035067187038294E-8
1984-11-11 00:00:00 UTC,2.6828073984574985E-8
1984-11-12 00:00:00 UTC,2.9360620601437404E-8
1984-11-13 00:00:00 UTC,2.922234010327429E-8
1984-11-14 00:00:00 UTC,2.681840349794129E-8
1984-11-15 00:00:00 UTC,2.2911914143719514E-8
1984-11-16 00:00:00 UTC,2.465582227273444E-8
1984-11-17 00:00:00 UTC,2.740620352881251E-8
1984-11-18 00:00:00 UTC,2.270560806039157E-8
1984-11-19 00:00:00 UTC,2.154107292540175E-8
1984-11-20 00:00:00 UTC,2.1383456783041765E-8
1984-11-21 00:00:00 UTC,1.8917102551085918E-8
1984-11-22 00:00:00 UTC,2.0431201619430794E-8
1984-11-23 00:00:00 UTC,2.3607459098684558E-8
1984-11-24 00:00:00 UTC,3.64072931802184E-8
1984-11-25 00:00:00 UTC,3.040450380353832E-8
1984-11-26 00:00:00 UTC,2.349034211590606E-8
1984-11-27 00:00:00 UTC,1.836142615729841E-8
1984-11-28 00:00:00 UTC,2.57665639935567E-8
1984-11-29 00:00:00 UTC,2.20702638387138E-8
1984-11-30 00:00:00 UTC,1.808816563197979E-8
1984-12-01 00:00:00 UTC,1.9088846059389653E-8
1984-12-02 00:00:00 UTC,1.7202147262196377E-8
1984-12-03 00:00:00 UTC,1.8007689561727602E-8
1984-12-04 00:00:00 UTC,1.8322939610015965E-8
1984-12-05 00:00:00 UTC,1.62253250834965E-8
1984-12-06 00:00:00 UTC,1.5309847611888472E-8
1984-12-07 00:00:00 UTC,1.782942682382327E-8
1984-12-08 00:00:00 UTC,2.7106251465625064E-8
1984-12-09 00:00:00 UTC,2.8503245985689318E-8
1984-12-10 00:00:00 UTC,2.2996283988163668E-8
1984-12-11 00:00:00 UTC,2.9987841543288596E-8
1984-12-12 00:00:00 UTC,3.063614784082347E-8
1984-12-13 00:00:00 UTC,2.593827019836681E-8
1984-12-14 00:00:00 UTC,2.0673144973670787E-8
1984-12-15 00:00:00 UTC,2.9591571859555188E-8
1984-12-16 00:00:00 UTC,2.309568181146915E-8
1984-12-17 00:00:00 UTC,2.0687211943481998E-8
1984-12-18 00:00:00 UTC,2.1074649581009908E-8
1984-12-19 00:00:00 UTC,2.458826564577521E-8
1984-12-20 00:00:00 UTC,2.5091701161272795E-8
1984-12-21 00:00:00 UTC,1.763356216599732E-8
1984-12-22 00:00:00 UTC,1.6104845457221018E-8
1984-12-23 00:00:00 UTC,1.7709279376276754E-8
1984-12-24 00:00:00 UTC,1.7707822763668446E-8
1984-12-25 00:00:00 UTC,1.9803351847258455E-8
1984-12-26 00:00:00 UTC,2.6150575038741408E-8
1984-12-27 00:00:00 UTC,3.6869188591026614E-8
1984-12-28 00:00:00 UTC,2.418690314698324E-8
1984-12-29 00:00:00 UTC,2.7151685344506404E-8
1984-12-30 00:00:00 UTC,2.3863433895598973E-8
