Time,specific_humidity[unit:kg/kg]
1985-01-29 00:00:00 UTC,2.8100000548647586E-8
1985-01-30 00:00:00 UTC,1.999999987845058E-8
1985-01-31 00:00:00 UTC,9.99999993922529E-9
1985-02-01 00:00:00 UTC,8.899999848210882E-9
1985-02-02 00:00:00 UTC,9.399999889581068E-9
1985-02-03 00:00:00 UTC,1.4200000286734848E-8
1985-02-04 00:00:00 UTC,1.2900000179172366E-8
1985-02-05 00:00:00 UTC,1.1900000096431995E-8
1985-02-06 00:00:00 UTC,1.4400000303282923E-8
1985-02-07 00:00:00 UTC,1.4700000328105034E-8
1985-02-08 00:00:00 UTC,2.2500000085301508E-8
1985-02-09 00:00:00 UTC,2.790000053209951E-8
1985-02-10 00:00:00 UTC,2.4700000267330324E-8
1985-02-11 00:00:00 UTC,1.759999967987369E-8
1985-02-12 00:00:00 UTC,2.590000036661877E-8
1985-02-13 00:00:00 UTC,2.8700000598291808E-8
1985-02-14 00:00:00 UTC,2.7700000515551437E-8
1985-02-15 00:00:00 UTC,3.239999912807434E-8
1985-02-16 00:00:00 UTC,2.999999892949745E-8
1985-02-17 00:00:00 UTC,3.1199999028785896E-8
1985-02-18 00:00:00 UTC,3.2599999144622416E-8
1985-02-19 00:00:00 UTC,2.8100000548647586E-8
1985-02-20 00:00:00 UTC,3.630000122711863E-8
1985-02-21 00:00:00 UTC,3.7300001309859E-8
1985-02-22 00:00:00 UTC,3.859999964106464E-8
1985-02-23 00:00:00 UTC,3.359999922736279E-8
1985-02-24 00:00:00 UTC,2.4000000209412065E-8
1985-02-25 00:00:00 UTC,2.7000000457633178E-8
1985-02-26 00:00:00 UTC,2.8800000606565845E-8
1985-02-27 00:00:00 UTC,2.8200000556921623E-8
1985-02-28 00:00:00 UTC,3.279999916117049E-8
1985-03-01 00:00:00 UTC,3.170000084651292E-8
1985-03-02 00:00:00 UTC,3.699999950868005E-8
1985-03-03 00:00:00 UTC,3.150000082996485E-8
1985-03-04 00:00:00 UTC,1.8699999770888098E-8
1985-03-05 00:00:00 UTC,2.4300000234234176E-8
1985-03-06 00:00:00 UTC,3.170000084651292E-8
1985-03-07 00:00:00 UTC,2.8800000606565845E-8
1985-03-08 00:00:00 UTC,3.03000007306764E-8
1985-03-09 00:00:00 UTC,4.030000155808011E-8
1985-03-10 00:00:00 UTC,5.029999883277014E-8
1985-03-11 00:00:00 UTC,4.349999827013562E-8
1985-03-12 00:00:00 UTC,4.5000000170603016E-8
1985-03-13 00:00:00 UTC,3.2300000896157144E-8
1985-03-14 00:00:00 UTC,3.070000076377255E-8
1985-03-15 00:00:00 UTC,3.270000092925329E-8
1985-03-16 00:00:00 UTC,3.699999950868005E-8
1985-03-17 00:00:00 UTC,3.03000007306764E-8
1985-03-18 00:00:00 UTC,2.930000064793603E-8
1985-03-19 00:00:00 UTC,3.770000134295515E-8
1985-03-20 00:00:00 UTC,3.5700001177474405E-8
1985-03-21 00:00:00 UTC,3.750000132640707E-8
1985-03-22 00:00:00 UTC,2.7000000457633178E-8
1985-03-23 00:00:00 UTC,2.0899999952916914E-8
1985-03-24 00:00:00 UTC,2.6100000383166844E-8
1985-03-25 00:00:00 UTC,2.830000056519566E-8
1985-03-26 00:00:00 UTC,2.930000064793603E-8
1985-03-27 00:00:00 UTC,2.9200000639661994E-8
1985-03-28 00:00:00 UTC,3.490000111128211E-8
1985-03-29 00:00:00 UTC,3.0249999838360964E-8
1985-03-30 00:00:00 UTC,2.860000059001777E-8
1985-03-31 00:00:00 UTC,2.8800000606565845E-8
1985-04-01 00:00:00 UTC,3.6799999492131974E-8
1985-04-02 00:00:00 UTC,3.699999950868005E-8
1985-04-03 00:00:00 UTC,3.519999935974738E-8
1985-04-04 00:00:00 UTC,3.370000101199366E-8
1985-04-05 00:00:00 UTC,3.1249999921101335E-8
1985-04-06 00:00:00 UTC,3.759999955832427E-8
1985-04-07 00:00:00 UTC,3.8100001376051296E-8
1985-04-08 00:00:00 UTC,4.219999993892998E-8
1985-04-09 00:00:00 UTC,4.589999846871251E-8
1985-04-10 00:00:00 UTC,4.9899998799673995E-8
1985-04-11 00:00:00 UTC,4.219999993892998E-8
1985-04-12 00:00:00 UTC,4.489999838597214E-8
1985-04-13 00:00:00 UTC,4.1599999889285755E-8
1985-04-14 00:00:00 UTC,3.4399999293555084E-8
1985-04-15 00:00:00 UTC,3.3300000978897515E-8
1985-04-16 00:00:00 UTC,3.9500001491887815E-8
1985-04-17 00:00:00 UTC,4.4699998369424065E-8
1985-04-18 00:00:00 UTC,5.0200000600852945E-8
1985-04-19 00:00:00 UTC,5.009999881622207E-8
1985-04-20 00:00:00 UTC,3.999999975690116E-8
1985-04-21 00:00:00 UTC,4.760000038572798E-8
1985-04-22 00:00:00 UTC,5.049999884931822E-8
1985-04-23 00:00:00 UTC,4.0900001607724334E-8
1985-04-24 00:00:00 UTC,4.030000155808011E-8
1985-04-25 00:00:00 UTC,5.769999944504889E-8
1985-04-26 00:00:00 UTC,6.100000149444895E-8
1985-04-27 00:00:00 UTC,5.9499999593981556E-8
1985-04-28 00:00:00 UTC,7.490000086818327E-8
1985-04-29 00:00:00 UTC,7.839999938141773E-8
1985-04-30 00:00:00 UTC,7.330000073579868E-8
1985-05-01 00:00:00 UTC,7.229999710034463E-8
1985-05-02 00:00:00 UTC,7.389999723272922E-8
1985-05-03 00:00:00 UTC,7.94999976960753E-8
